154	202	136	179	173	228	
171	624	155	602	188	645	
179	306	158	280	202	334	
179	405	157	381	200	430	
181	514	160	493	205	536	
184	108	164	84	206	131	
195	360	175	337	217	386	
196	474	175	450	219	497	
192	804	166	787	217	822	
222	538	204	514	238	558	
220	306	199	286	240	327	
232	157	210	143	256	170	
233	238	210	220	254	256	
242	573	221	552	263	592	
253	619	232	598	275	643	
270	421	254	398	288	445	
281	226	264	209	305	248	
275	161	258	140	288	185	
293	488	273	464	313	513	
303	635	285	616	324	655	
308	300	292	279	329	327	
319	558	298	532	342	581	
356	455	338	431	374	477	
359	627	343	609	377	645	
307	178	287	160	328	197	
231	189	210	170	251	212	
262	78	241	61	285	97	
319	253	294	227	344	279	
336	340	310	323	360	360	
374	791	351	768	396	812	
385	747	361	722	410	768	
181	156	160	135	204	178	
316	433	296	411	338	457	
332	382	312	360	357	409	
191	191	173	178	210	204	
246	763	231	744	264	789	
289	117	267	91	312	142	
404	876	379	859	429	894	
174	693	151	674	193	711	
227	121	211	103	249	143	
292	360	275	335	311	387	
180	258	158	231	202	280	
282	12	259	0	303	31	
188	746	166	727	212	769	
270	290	251	262	292	322	
370	577	349	555	391	598	
136	11	110	0	160	26	
305	757	290	737	325	776	
293	946	269	927	322	959	
405	947	378	931	431	959	
162	852	141	830	183	872	
411	804	395	778	432	828	
203	610	188	592	220	628	
182	13	160	0	208	32	
239	882	211	858	264	912	
325	694	307	677	346	708	
393	651	376	634	413	670	
178	558	155	543	199	578	
243	472	225	457	264	491	
377	698	361	680	392	718	
145	73	123	57	168	86	
156	46	136	26	178	71	
149	104	134	86	164	124	
183	896	166	872	199	921	
243	357	225	332	264	384	
144	917	126	893	166	939	
309	597	286	581	335	616	
401	843	381	827	424	859	
252	730	234	717	273	743	
307	880	291	863	322	902	
299	723	273	708	327	738	
167	944	145	921	198	959	
286	840	271	818	302	861	
364	846	349	830	381	872	
