567	344	546	323	589	366	
551	216	521	200	589	237	
659	340	645	319	677	361	
730	216	702	200	757	239	
412	300	400	280	432	327	
461	247	441	229	484	268	
703	281	685	265	724	297	
784	321	762	299	799	343	
784	259	757	207	799	285	
559	266	542	248	577	286	
731	366	713	342	750	385	
410	379	400	346	427	399	
636	387	606	360	668	399	
696	311	677	297	712	329	
463	351	446	336	480	369	
627	291	601	274	657	310	
618	236	601	218	634	256	
642	213	621	200	670	231	
472	212	449	200	502	230	
496	309	472	289	520	325	
